Product_Supermarket_Identifier,Product_Supermarket_Sales
FDY57_CHUKWUDI013,3336.1042
FDY10_CHUKWUDI018,2748.699
FDO40_CHUKWUDI018,3700.2075
NCQ43_CHUKWUDI018,2326.4282
NCC07_CHUKWUDI046,3252.6719
FDK27_CHUKWUDI019,682.1491
DRJ39_CHUKWUDI027,12211.235
FDZ16_CHUKWUDI035,6762.304
FDD21_CHUKWUDI018,3444.1816
FDQ12_CHUKWUDI019,1208.4998
FDH35_CHUKWUDI045,4975.511
FDP51_CHUKWUDI018,3145.1494
FDD10_CHUKWUDI045,6060.4805
FDB23_CHUKWUDI045,7233.7397
FDK41_CHUKWUDI013,2715.2368
NCX18_CHUKWUDI035,6938.242
FDO60_CHUKWUDI010,160.66109
NCW29_CHUKWUDI013,4485.1675
DRD13_CHUKWUDI013,2072.466
FDU44_CHUKWUDI018,5119.6216
FDD09_CHUKWUDI018,5292.808
NCO29_CHUKWUDI017,5985.4067
FDS57_CHUKWUDI017,4939.2905
FDW21_CHUKWUDI046,3612.707
FDV26_CHUKWUDI019,1045.7039
NCJ43_CHUKWUDI017,6203.9653
FDF34_CHUKWUDI017,7482.929
FDK33_CHUKWUDI035,7443.2124
FDO34_CHUKWUDI027,10016.379
FDE24_CHUKWUDI018,3551.1953
NCR38_CHUKWUDI035,8855.86
FDV21_CHUKWUDI010,759.1877
DRL35_CHUKWUDI013,1302.375
FDM39_CHUKWUDI018,5509.8994
DRH01_CHUKWUDI045,5727.853
FDX34_CHUKWUDI049,4343.051
DRB01_CHUKWUDI049,7063.0513
FDD05_CHUKWUDI046,3677.5637
FDN31_CHUKWUDI049,7423.6665
FDW12_CHUKWUDI027,9026.162
FDO34_CHUKWUDI018,4670.568
FDV28_CHUKWUDI010,29.914837
NCF30_CHUKWUDI046,3912.7085
NCZ53_CHUKWUDI027,11224.541
DRC01_CHUKWUDI013,2147.3804
FDO27_CHUKWUDI046,3163.1143
FDV55_CHUKWUDI046,4686.1084
FDV01_CHUKWUDI017,5443.431
FDB45_CHUKWUDI046,3243.2817
FDF17_CHUKWUDI045,6891.847
DRD60_CHUKWUDI035,6455.963
FDV26_CHUKWUDI027,11078.402
DRI03_CHUKWUDI027,9993.609
FDA43_CHUKWUDI018,6310.36
NCX54_CHUKWUDI046,3603.6895
FDX34_CHUKWUDI046,4307.248
FDX07_CHUKWUDI049,6547.0073
FDM45_CHUKWUDI013,4425.7095
NCY18_CHUKWUDI018,5721.478
NCV54_CHUKWUDI019,685.0655
FDX47_CHUKWUDI017,5581.276
FDT55_CHUKWUDI035,5706.305
NCL18_CHUKWUDI035,6562.5967
DRL47_CHUKWUDI046,3926.8677
FDH44_CHUKWUDI017,5171.223
FDS11_CHUKWUDI049,8475.331
FDH27_CHUKWUDI046,4762.6514
NCK19_CHUKWUDI018,6194.9526
FDC57_CHUKWUDI035,6792.31
FDT13_CHUKWUDI035,6754.1626
NCY18_CHUKWUDI046,6276.3315
NCS53_CHUKWUDI045,5244.849
FDE08_CHUKWUDI010,728.1934
FDY38_CHUKWUDI045,7782.694
FDJ55_CHUKWUDI035,8248.221
FDJ36_CHUKWUDI010,571.4163
FDO12_CHUKWUDI049,6748.0845
FDX21_CHUKWUDI018,3070.8354
DRD49_CHUKWUDI035,9468.518
DRE13_CHUKWUDI013,2973.3855
NCF07_CHUKWUDI046,3448.028
NCO17_CHUKWUDI049,4220.194
FDR55_CHUKWUDI045,7070.9136
FDF40_CHUKWUDI027,13703.232
FDP10_CHUKWUDI013,3539.73
NCR41_CHUKWUDI049,3157.8652
DRK37_CHUKWUDI027,11190.642
FDV03_CHUKWUDI013,5035.0005
FDN57_CHUKWUDI046,4610.426
DRE12_CHUKWUDI013,4028.3298
FDV37_CHUKWUDI035,7564.316
FDF56_CHUKWUDI027,10752.916
DRJ49_CHUKWUDI018,3953.0752
FDJ46_CHUKWUDI027,10370.699
FDC21_CHUKWUDI010,631.3454
FDK21_CHUKWUDI035,9378.237
FDT32_CHUKWUDI017,6589.97
FDN56_CHUKWUDI035,5232.8247
FDS52_CHUKWUDI010,518.3632
NCU42_CHUKWUDI045,5942.3843
NCN07_CHUKWUDI046,3980.8352
NCG30_CHUKWUDI046,3652.1377
NCL54_CHUKWUDI027,10408.066
FDZ26_CHUKWUDI035,8939.935
FDX25_CHUKWUDI046,6030.6406
FDT21_CHUKWUDI017,9269.803
FDN56_CHUKWUDI045,5130.7056
NCB42_CHUKWUDI013,3997.538
FDA21_CHUKWUDI049,6890.128
FDY55_CHUKWUDI035,9091.59
NCS30_CHUKWUDI018,3846.0916
FDI20_CHUKWUDI027,12086.668
FDT01_CHUKWUDI045,7556.732
NCJ05_CHUKWUDI046,4889.671
FDW04_CHUKWUDI045,4492.4917
FDW23_CHUKWUDI013,1602.2567
FDS57_CHUKWUDI046,4793.182
FDM12_CHUKWUDI017,6636.9097
FDI34_CHUKWUDI035,9361.807
FDQ28_CHUKWUDI027,9228.904
FDI02_CHUKWUDI046,3801.1724
NCX53_CHUKWUDI013,4734.779
DRF27_CHUKWUDI017,5096.0806
FDR39_CHUKWUDI046,5787.7407
FDU26_CHUKWUDI017,3853.3975
FDK08_CHUKWUDI049,3650.8286
FDD47_CHUKWUDI049,6139.304
FDO34_CHUKWUDI010,825.06824
FDY12_CHUKWUDI013,1701.4935
FDS11_CHUKWUDI035,8327.71
FDA47_CHUKWUDI017,6081.4614
FDM08_CHUKWUDI045,8696.019
FDJ53_CHUKWUDI046,4083.4397
FDC44_CHUKWUDI017,3773.2087
NCM43_CHUKWUDI018,4348.261
FDY44_CHUKWUDI018,6070.74
FDI41_CHUKWUDI035,4949.1753
FDH17_CHUKWUDI046,3138.249
NCQ38_CHUKWUDI049,3461.5571
FDB22_CHUKWUDI045,5443.486
FDP37_CHUKWUDI019,712.7674
NCQ50_CHUKWUDI049,7488.986
FDA49_CHUKWUDI010,446.7358
FDC51_CHUKWUDI049,4305.641
FDQ32_CHUKWUDI046,4069.7632
NCX41_CHUKWUDI045,6995.7046
FDD40_CHUKWUDI049,6480.03
FDG12_CHUKWUDI017,4323.194
FDR52_CHUKWUDI035,6921.5093
FDA52_CHUKWUDI045,5921.0327
DRE60_CHUKWUDI019,1197.4003
DRN37_CHUKWUDI049,6294.811
FDI09_CHUKWUDI045,8159.7964
FDW07_CHUKWUDI010,488.05005
FDG12_CHUKWUDI019,669.3974
FDN01_CHUKWUDI045,6223.3394
FDB53_CHUKWUDI049,5069.4663
FDM46_CHUKWUDI046,3181.308
FDG33_CHUKWUDI017,6291.627
FDC22_CHUKWUDI049,7461.5356
DRN47_CHUKWUDI027,10660.039
FDP52_CHUKWUDI027,13043.701
FDY08_CHUKWUDI010,895.79083
FDQ21_CHUKWUDI013,3997.7231
NCN06_CHUKWUDI010,1076.4382
FDG53_CHUKWUDI013,4846.6157
NCJ54_CHUKWUDI027,13158.686
NCF54_CHUKWUDI045,5590.938
FDA50_CHUKWUDI010,516.30273
FDV45_CHUKWUDI045,6345.637
NCH55_CHUKWUDI018,3225.5134
FDX21_CHUKWUDI046,3868.457
DRH37_CHUKWUDI013,5643.0786
FDX38_CHUKWUDI013,1522.1409
FDT21_CHUKWUDI035,9249.8125
FDW25_CHUKWUDI013,2987.0508
NCL29_CHUKWUDI046,5736.7173
FDR31_CHUKWUDI027,9064.253
FDC34_CHUKWUDI019,866.1607
FDK50_CHUKWUDI017,5805.517
DRI25_CHUKWUDI013,1867.2849
FDN15_CHUKWUDI049,4653.9414
NCX54_CHUKWUDI010,645.7136
FDF10_CHUKWUDI049,5386.5337
NCS06_CHUKWUDI019,1457.7881
NCT41_CHUKWUDI046,4989.505
FDB14_CHUKWUDI010,469.65625
NCQ30_CHUKWUDI049,4446.6313
FDU01_CHUKWUDI017,6501.278
FDW19_CHUKWUDI018,3314.0342
FDS43_CHUKWUDI045,6906.4214
NCP18_CHUKWUDI018,4395.371
DRE60_CHUKWUDI045,8493.116
FDY28_CHUKWUDI017,7818.2905
DRG01_CHUKWUDI013,2607.5361
FDF50_CHUKWUDI035,7151.3486
FDQ10_CHUKWUDI027,10180.246
FDS12_CHUKWUDI013,4456.157
FDF16_CHUKWUDI017,5012.315
NCK29_CHUKWUDI010,247.91722
FDD50_CHUKWUDI027,10020.732
NCO42_CHUKWUDI035,4786.3403
FDQ24_CHUKWUDI045,8603.503
NCL18_CHUKWUDI018,5480.653
FDS12_CHUKWUDI010,786.4393
FDF10_CHUKWUDI045,4974.56
NCQ30_CHUKWUDI010,657.2898
FDV46_CHUKWUDI019,794.43964
NCJ43_CHUKWUDI027,10293.859
NCK18_CHUKWUDI049,6132.046
FDL46_CHUKWUDI018,2892.4565
FDZ25_CHUKWUDI027,10351.049
FDE51_CHUKWUDI010,68.806076
FDU40_CHUKWUDI046,6152.709
FDK25_CHUKWUDI017,6382.7837
FDO52_CHUKWUDI046,6343.777
FDM03_CHUKWUDI018,2879.7373
FDR01_CHUKWUDI045,7330.8394
FDA27_CHUKWUDI045,8424.639
FDX47_CHUKWUDI018,5063.028
DRC36_CHUKWUDI046,6414.1196
FDO40_CHUKWUDI027,8847.447
DRM37_CHUKWUDI027,11516.229
FDR10_CHUKWUDI013,5604.9688
FDP08_CHUKWUDI049,6706.308
FDH56_CHUKWUDI010,759.1409
FDQ40_CHUKWUDI017,6551.875
FDT40_CHUKWUDI017,4119.7705
FDE28_CHUKWUDI019,1219.9456
NCZ18_CHUKWUDI045,9318.953
NCI29_CHUKWUDI049,5148.7144
FDI32_CHUKWUDI010,590.3388
FDV13_CHUKWUDI013,3075.267
NCA06_CHUKWUDI013,1089.1594
FDY19_CHUKWUDI013,3822.9868
NCJ43_CHUKWUDI010,973.81866
FDG04_CHUKWUDI045,6344.4165
FDC29_CHUKWUDI046,3971.8823
FDJ04_CHUKWUDI046,3497.8135
NCE07_CHUKWUDI035,5046.886
FDB09_CHUKWUDI046,4038.8418
FDY47_CHUKWUDI010,834.1539
DRH36_CHUKWUDI013,2467.1255
FDC10_CHUKWUDI049,4607.054
FDX49_CHUKWUDI027,13507.432
FDW08_CHUKWUDI018,2969.207
FDA31_CHUKWUDI018,5432.546
FDY40_CHUKWUDI013,1472.4016
FDT31_CHUKWUDI017,6501.066
FDZ10_CHUKWUDI046,4089.3818
FDG31_CHUKWUDI010,294.28995
FDR26_CHUKWUDI045,5496.028
FDK02_CHUKWUDI049,4410.312
NCQ41_CHUKWUDI018,5616.483
FDX19_CHUKWUDI017,7975.8228
FDI46_CHUKWUDI045,9808.352
FDY57_CHUKWUDI049,3305.928
FDJ21_CHUKWUDI018,4239.4893
FDN01_CHUKWUDI018,5614.351
FDN51_CHUKWUDI045,8868.109
FDT35_CHUKWUDI017,5669.566
FDJ36_CHUKWUDI049,3616.2622
FDW45_CHUKWUDI046,4838.7593
FDB33_CHUKWUDI049,5482.7812
NCC19_CHUKWUDI046,6952.236
FDX15_CHUKWUDI049,5159.72
NCT18_CHUKWUDI017,6264.156
FDH57_CHUKWUDI046,4730.975
FDX22_CHUKWUDI035,7976.8013
FDN02_CHUKWUDI035,7339.7397
FDT58_CHUKWUDI018,5478.0522
NCV06_CHUKWUDI027,11376.67
FDW44_CHUKWUDI046,6419.5713
DRF49_CHUKWUDI046,4012.7188
FDD04_CHUKWUDI019,782.5846
FDH53_CHUKWUDI013,2707.836
FDS01_CHUKWUDI019,982.1877
FDU60_CHUKWUDI035,5807.0776
FDZ59_CHUKWUDI049,6297.4546
FDE17_CHUKWUDI035,5152.973
FDG38_CHUKWUDI013,3004.4204
FDY21_CHUKWUDI019,1047.8364
FDV11_CHUKWUDI045,6184.933
