Product_Supermarket_Identifier,Product_Supermarket_Sales
FDY57_CHUKWUDI013,3780.0432
FDY10_CHUKWUDI018,4011.994
FDO40_CHUKWUDI018,5278.4683
NCQ43_CHUKWUDI018,3862.566
NCC07_CHUKWUDI046,4217.314
FDK27_CHUKWUDI019,617.8431
DRJ39_CHUKWUDI027,13041.785
FDZ16_CHUKWUDI035,7358.782
FDD21_CHUKWUDI018,4079.7705
FDQ12_CHUKWUDI019,1593.8705
FDH35_CHUKWUDI045,6503.2427
FDP51_CHUKWUDI018,4227.677
FDD10_CHUKWUDI045,6911.4956
FDB23_CHUKWUDI045,9481.12
FDK41_CHUKWUDI013,3151.7886
NCX18_CHUKWUDI035,7500.7446
FDO60_CHUKWUDI010,284.33286
NCW29_CHUKWUDI013,4930.696
DRD13_CHUKWUDI013,2091.0725
FDU44_CHUKWUDI018,5747.734
FDD09_CHUKWUDI018,6289.1035
NCO29_CHUKWUDI017,6247.4346
FDS57_CHUKWUDI017,5413.3984
FDW21_CHUKWUDI046,3569.825
FDV26_CHUKWUDI019,1054.9941
NCJ43_CHUKWUDI017,6795.0864
FDF34_CHUKWUDI017,7642.306
FDK33_CHUKWUDI035,8590.091
FDO34_CHUKWUDI027,9494.461
FDE24_CHUKWUDI018,5386.5044
NCR38_CHUKWUDI035,10143.8125
FDV21_CHUKWUDI010,503.42932
DRL35_CHUKWUDI013,1916.0974
FDM39_CHUKWUDI018,6219.12
DRH01_CHUKWUDI045,6982.9805
FDX34_CHUKWUDI049,4700.725
DRB01_CHUKWUDI049,7293.8145
FDD05_CHUKWUDI046,5011.188
FDN31_CHUKWUDI049,7423.408
FDW12_CHUKWUDI027,9256.915
FDO34_CHUKWUDI018,5608.0376
FDV28_CHUKWUDI010,318.4142
NCF30_CHUKWUDI046,5020.0444
NCZ53_CHUKWUDI027,13546.514
DRC01_CHUKWUDI013,1866.486
FDO27_CHUKWUDI046,3432.7788
FDV55_CHUKWUDI046,5936.165
FDV01_CHUKWUDI017,5989.573
FDB45_CHUKWUDI046,4217.314
FDF17_CHUKWUDI045,7146.2295
DRD60_CHUKWUDI035,7425.9795
FDV26_CHUKWUDI027,12953.881
DRI03_CHUKWUDI027,10232.909
FDA43_CHUKWUDI018,6781.718
NCX54_CHUKWUDI046,4003.2322
FDX34_CHUKWUDI046,4700.725
FDX07_CHUKWUDI049,7448.4746
FDM45_CHUKWUDI013,4772.4854
NCY18_CHUKWUDI018,6219.12
NCV54_CHUKWUDI019,694.1162
FDX47_CHUKWUDI017,5967.489
FDT55_CHUKWUDI035,6351.0503
NCL18_CHUKWUDI035,7239.4185
DRL47_CHUKWUDI046,5111.098
FDH44_CHUKWUDI017,5919.3296
FDS11_CHUKWUDI049,8602.307
FDH27_CHUKWUDI046,4877.212
NCK19_CHUKWUDI018,6933.1343
FDC57_CHUKWUDI035,7432.5684
FDT13_CHUKWUDI035,7425.9795
NCY18_CHUKWUDI046,7088.6343
NCS53_CHUKWUDI045,6351.0503
FDE08_CHUKWUDI010,869.9763
FDY38_CHUKWUDI045,9462.642
FDJ55_CHUKWUDI035,8411.87
FDJ36_CHUKWUDI010,568.4542
FDO12_CHUKWUDI049,7441.8857
FDX21_CHUKWUDI018,3763.0034
DRD49_CHUKWUDI035,9300.67
DRE13_CHUKWUDI013,3004.8596
NCF07_CHUKWUDI046,3952.0593
NCO17_CHUKWUDI049,4798.2188
FDR55_CHUKWUDI045,7344.459
FDF40_CHUKWUDI027,14054.6045
FDP10_CHUKWUDI013,4160.22
NCR41_CHUKWUDI049,3724.1675
DRK37_CHUKWUDI027,13710.003
FDV03_CHUKWUDI013,5901.6904
FDN57_CHUKWUDI046,5146.364
DRE12_CHUKWUDI013,4360.542
FDV37_CHUKWUDI035,7617.6177
FDF56_CHUKWUDI027,12904.508
DRJ49_CHUKWUDI018,4346.8306
FDJ46_CHUKWUDI027,10946.896
FDC21_CHUKWUDI010,648.596
FDK21_CHUKWUDI035,9083.911
FDT32_CHUKWUDI017,7432.5684
FDN56_CHUKWUDI035,5749.3945
FDS52_CHUKWUDI010,539.02106
NCU42_CHUKWUDI045,6310.9985
NCN07_CHUKWUDI046,5111.098
NCG30_CHUKWUDI046,4954.0933
NCL54_CHUKWUDI027,10482.64
FDZ26_CHUKWUDI035,9346.714
FDX25_CHUKWUDI046,7298.679
FDT21_CHUKWUDI017,8661.967
FDN56_CHUKWUDI045,5714.92
NCB42_CHUKWUDI013,4630.248
FDA21_CHUKWUDI049,7423.408
FDY55_CHUKWUDI035,10143.8125
NCS30_CHUKWUDI018,4698.8896
FDI20_CHUKWUDI027,13270.487
FDT01_CHUKWUDI045,8501.729
NCJ05_CHUKWUDI046,5862.235
FDW04_CHUKWUDI045,4898.129
FDW23_CHUKWUDI013,1856.2725
FDS57_CHUKWUDI046,6132.956
FDM12_CHUKWUDI017,7472.024
FDI34_CHUKWUDI035,9462.642
FDQ28_CHUKWUDI027,9003.223
FDI02_CHUKWUDI046,4437.998
NCX53_CHUKWUDI013,5953.804
DRF27_CHUKWUDI017,5773.22
FDR39_CHUKWUDI046,7259.2236
FDU26_CHUKWUDI017,4871.712
FDK08_CHUKWUDI049,3674.1294
FDD47_CHUKWUDI049,6765.8643
FDO34_CHUKWUDI010,1022.82275
FDY12_CHUKWUDI013,1846.5204
FDS11_CHUKWUDI035,8586.399
FDA47_CHUKWUDI017,6247.4346
FDM08_CHUKWUDI045,8144.7334
FDJ53_CHUKWUDI046,4798.2188
FDC44_CHUKWUDI017,4560.0044
NCM43_CHUKWUDI018,5483.433
FDY44_CHUKWUDI018,6533.2275
FDI41_CHUKWUDI035,5901.6904
FDH17_CHUKWUDI046,3724.1675
NCQ38_CHUKWUDI049,4123.169
FDB22_CHUKWUDI045,5993.222
FDP37_CHUKWUDI019,675.5237
NCQ50_CHUKWUDI049,8508.125
FDA49_CHUKWUDI010,442.01364
FDC51_CHUKWUDI049,4818.6475
FDQ32_CHUKWUDI046,4954.0933
NCX41_CHUKWUDI045,8590.091
FDD40_CHUKWUDI049,7448.4746
FDG12_CHUKWUDI017,4700.725
FDR52_CHUKWUDI035,7453.5464
FDA52_CHUKWUDI045,6950.951
DRE60_CHUKWUDI019,1455.2649
DRN37_CHUKWUDI049,6317.678
FDI09_CHUKWUDI045,9460.557
FDW07_CHUKWUDI010,493.37512
FDG12_CHUKWUDI019,508.22433
FDN01_CHUKWUDI045,6957.0913
FDB53_CHUKWUDI049,6205.6416
FDM46_CHUKWUDI046,3436.242
FDG33_CHUKWUDI017,6740.131
FDC22_CHUKWUDI049,7339.859
DRN47_CHUKWUDI027,11174.774
FDP52_CHUKWUDI027,14946.719
FDY08_CHUKWUDI010,853.3987
FDQ21_CHUKWUDI013,5011.188
NCN06_CHUKWUDI010,1113.7722
FDG53_CHUKWUDI013,4930.696
NCJ54_CHUKWUDI027,15430.248
NCF54_CHUKWUDI045,6982.9805
FDA50_CHUKWUDI010,501.7327
FDV45_CHUKWUDI045,7425.9795
NCH55_CHUKWUDI018,4343.4263
FDX21_CHUKWUDI046,4046.8264
DRH37_CHUKWUDI013,6374.625
FDX38_CHUKWUDI013,1854.0135
FDT21_CHUKWUDI035,8951.097
FDW25_CHUKWUDI013,3004.8596
NCL29_CHUKWUDI046,6025.789
FDR31_CHUKWUDI027,9115.214
FDC34_CHUKWUDI019,831.48486
FDK50_CHUKWUDI017,5993.222
DRI25_CHUKWUDI013,2021.1334
FDN15_CHUKWUDI049,5203.4585
NCX54_CHUKWUDI010,635.7015
FDF10_CHUKWUDI049,6205.6416
NCS06_CHUKWUDI019,1274.7
NCT41_CHUKWUDI046,6098.4814
FDB14_CHUKWUDI010,424.69858
NCQ30_CHUKWUDI049,4772.4854
FDU01_CHUKWUDI017,7432.5684
FDW19_CHUKWUDI018,3808.1128
FDS43_CHUKWUDI045,7407.502
NCP18_CHUKWUDI018,5247.09
DRE60_CHUKWUDI045,8926.883
FDY28_CHUKWUDI017,7876.842
DRG01_CHUKWUDI013,2091.0725
FDF50_CHUKWUDI035,7303.035
FDQ10_CHUKWUDI027,10615.281
FDS12_CHUKWUDI013,4838.4365
FDF16_CHUKWUDI017,5714.92
NCK29_CHUKWUDI010,818.8264
FDD50_CHUKWUDI027,9403.38
NCO42_CHUKWUDI035,5919.3296
FDQ24_CHUKWUDI045,10143.8125
NCL18_CHUKWUDI018,6564.8125
FDS12_CHUKWUDI010,603.7008
FDF10_CHUKWUDI045,6098.4814
NCQ30_CHUKWUDI010,611.2539
FDV46_CHUKWUDI019,748.58295
NCJ43_CHUKWUDI027,11028.334
NCK18_CHUKWUDI049,6317.678
FDL46_CHUKWUDI018,4004.4744
FDZ25_CHUKWUDI027,9573.026
FDE51_CHUKWUDI010,313.2172
FDU40_CHUKWUDI046,7259.2236
FDK25_CHUKWUDI017,6267.971
FDO52_CHUKWUDI046,6847.6694
FDM03_CHUKWUDI018,3901.9932
