Item_Store_ID,Item_Store_Returns
DRA59_BABATUNJI010,1253.0032
DRA59_BABATUNJI013,6416.2676
DRB01_BABATUNJI013,6472.8237
DRB13_BABATUNJI010,1491.3452
DRB13_BABATUNJI013,6692.5967
DRB25_BABATUNJI017,3652.4417
DRB25_BABATUNJI027,7357.686
DRB25_BABATUNJI035,3580.9893
DRB48_BABATUNJI017,1288.6785
DRB48_BABATUNJI027,5505.249
DRB48_BABATUNJI035,1341.7023
DRB48_BABATUNJI046,1189.9022
DRB48_BABATUNJI049,1234.2106
DRC01_BABATUNJI017,2169.5015
DRC01_BABATUNJI018,1314.8657
DRC01_BABATUNJI027,5752.9414
DRC01_BABATUNJI045,1779.6844
DRC01_BABATUNJI046,1881.8063
DRC13_BABATUNJI035,4572.864
DRC13_BABATUNJI045,4142.915
DRC25_BABATUNJI018,2346.3284
DRC25_BABATUNJI019,188.82886
DRC25_BABATUNJI027,6786.156
DRC25_BABATUNJI045,2755.7727
DRC25_BABATUNJI046,2950.102
DRC27_BABATUNJI010,2962.068
DRC27_BABATUNJI018,7478.834
DRC27_BABATUNJI049,8236.999
DRC36_BABATUNJI013,5981.8965
DRD01_BABATUNJI017,2079.4612
DRD01_BABATUNJI018,1281.2244
DRD01_BABATUNJI035,2069.6335
DRD01_BABATUNJI045,1680.2963
DRD01_BABATUNJI049,1900.1711
DRD12_BABATUNJI017,3282.31
DRD12_BABATUNJI018,2464.5142
DRD12_BABATUNJI027,6854.38
DRD12_BABATUNJI035,3321.4648
DRD12_BABATUNJI045,2883.46
DRD12_BABATUNJI046,3001.0305
DRD13_BABATUNJI017,2015.5645
DRD13_BABATUNJI018,1314.548
DRD13_BABATUNJI027,6019.153
DRD13_BABATUNJI035,1959.2355
DRD13_BABATUNJI045,1707.394
DRD13_BABATUNJI049,2013.8757
DRD15_BABATUNJI010,2426.7815
DRD15_BABATUNJI013,7702.3896
DRD15_BABATUNJI046,7639.9004
DRD15_BABATUNJI049,7760.6587
DRD24_BABATUNJI027,8615.525
DRD25_BABATUNJI027,7594.7935
DRD25_BABATUNJI035,3988.3896
DRD25_BABATUNJI045,3631.3533
DRD27_BABATUNJI017,2959.0735
DRD27_BABATUNJI019,253.71634
DRD27_BABATUNJI045,2556.545
DRD37_BABATUNJI017,1685.6221
DRD37_BABATUNJI018,907.24805
DRD37_BABATUNJI045,1351.7778
DRD37_BABATUNJI046,1450.514
DRD37_BABATUNJI049,1596.5994
DRD49_BABATUNJI046,7893.566
DRD60_BABATUNJI013,5991.8574
DRE01_BABATUNJI010,2787.4917
DRE01_BABATUNJI046,8078.1704
DRE03_BABATUNJI017,1144.1407
DRE03_BABATUNJI018,655.86426
DRE03_BABATUNJI035,1109.6705
DRE03_BABATUNJI045,785.74805
DRE03_BABATUNJI046,1073.2975
DRE03_BABATUNJI049,1107.6097
DRE12_BABATUNJI027,7588.641
DRE12_BABATUNJI035,4051.9358
DRE12_BABATUNJI045,3708.683
DRE13_BABATUNJI027,6735.0454
DRE13_BABATUNJI035,3218.4963
DRE13_BABATUNJI045,2767.4976
DRE13_BABATUNJI049,3111.0356
DRE15_BABATUNJI017,2361.499
DRE15_BABATUNJI018,1578.5039
DRE15_BABATUNJI019,106.25363
DRE15_BABATUNJI027,6112.7837
DRE15_BABATUNJI045,1911.3575
DRE15_BABATUNJI046,2183.6343
DRE25_BABATUNJI017,2957.2131
DRE25_BABATUNJI027,6956.517
DRE25_BABATUNJI035,2967.525
DRE27_BABATUNJI035,2997.9163
DRE27_BABATUNJI045,2655.2253
DRE48_BABATUNJI013,6746.7305
DRE48_BABATUNJI046,6716.021
DRE60_BABATUNJI013,7581.698
DRF03_BABATUNJI018,466.41562
DRF03_BABATUNJI027,5039.3013
DRF03_BABATUNJI035,887.59265
DRF03_BABATUNJI045,593.283
DRF03_BABATUNJI046,865.6583
DRF03_BABATUNJI049,968.20306
DRF25_BABATUNJI019,52.88057
DRF25_BABATUNJI027,5210.7227
DRF25_BABATUNJI035,1370.4717
DRF25_BABATUNJI045,1027.6246
DRF25_BABATUNJI046,1131.0294
DRF25_BABATUNJI049,1270.7388
DRF36_BABATUNJI010,1904.2845
DRF37_BABATUNJI013,8798.953
DRF37_BABATUNJI018,8233.33
DRF37_BABATUNJI035,9035.826
DRF37_BABATUNJI045,8739.276
DRF49_BABATUNJI035,4001.698
DRF49_BABATUNJI045,3626.8035
DRF51_BABATUNJI018,374.90118
DRF51_BABATUNJI045,526.9688
DRF51_BABATUNJI046,670.7834
DRF60_BABATUNJI018,7510.63
DRF60_BABATUNJI049,8259.646
DRG01_BABATUNJI019,136.5032
DRG01_BABATUNJI027,6334.6367
DRG01_BABATUNJI035,2471.3262
DRG01_BABATUNJI046,2228.0686
DRG11_BABATUNJI045,3529.3955
DRG15_BABATUNJI017,2171.0295
DRG15_BABATUNJI035,2017.4039
DRG15_BABATUNJI045,1705.8566
DRG15_BABATUNJI046,1904.5498
DRG15_BABATUNJI049,1953.6135
DRG25_BABATUNJI013,6269.891
DRG27_BABATUNJI018,614.4539
DRG27_BABATUNJI019,52.88057
DRG27_BABATUNJI045,825.9758
DRG27_BABATUNJI046,1060.0674
DRG27_BABATUNJI049,1170.4843
DRG36_BABATUNJI013,5623.692
DRG39_BABATUNJI018,722.4946
DRG39_BABATUNJI046,1273.7814
DRG39_BABATUNJI049,1469.695
DRG49_BABATUNJI010,3025.6995
DRG49_BABATUNJI018,7658.5825
