Item_Store_ID,Item_Store_Returns
DRA59_BABATUNJI010,5370.1113
DRA59_BABATUNJI013,12105.733
DRB01_BABATUNJI013,6827.9824
DRB13_BABATUNJI010,1917.7826
DRB13_BABATUNJI013,7907.0723
DRB25_BABATUNJI017,6670.2134
DRB25_BABATUNJI027,8527.623
DRB25_BABATUNJI035,6774.572
DRB48_BABATUNJI017,8895.01
DRB48_BABATUNJI027,7463.54
DRB48_BABATUNJI035,8399.207
DRB48_BABATUNJI046,8895.986
DRB48_BABATUNJI049,10010.527
DRC01_BABATUNJI017,8392.093
DRC01_BABATUNJI018,7499.833
DRC01_BABATUNJI027,7457.5103
DRC01_BABATUNJI045,8156.9253
DRC01_BABATUNJI046,8784.123
DRC13_BABATUNJI035,7029.799
DRC13_BABATUNJI045,7034.502
DRC25_BABATUNJI018,6799.2573
DRC25_BABATUNJI019,2411.1943
DRC25_BABATUNJI027,8289.0625
DRC25_BABATUNJI045,7552.2495
DRC25_BABATUNJI046,7934.938
DRC27_BABATUNJI010,4716.522
DRC27_BABATUNJI018,10313.973
DRC27_BABATUNJI049,10453.468
DRC36_BABATUNJI013,11655.795
DRD01_BABATUNJI017,3255.5938
DRD01_BABATUNJI018,1774.4896
DRD01_BABATUNJI035,2836.7063
DRD01_BABATUNJI045,3101.5693
DRD01_BABATUNJI049,2792.8713
DRD12_BABATUNJI017,4904.324
DRD12_BABATUNJI018,4981.5444
DRD12_BABATUNJI027,7921.591
DRD12_BABATUNJI035,4543.6577
DRD12_BABATUNJI045,4635.7686
DRD12_BABATUNJI046,5121.1045
DRD13_BABATUNJI017,4918.436
DRD13_BABATUNJI018,3672.4695
DRD13_BABATUNJI027,6852.3506
DRD13_BABATUNJI035,5002.829
DRD13_BABATUNJI045,4414.628
DRD13_BABATUNJI049,5299.4766
DRD15_BABATUNJI010,2050.3674
DRD15_BABATUNJI013,8091.8784
DRD15_BABATUNJI046,8403.905
DRD15_BABATUNJI049,9471.519
DRD24_BABATUNJI027,10384.871
DRD25_BABATUNJI027,8944.469
DRD25_BABATUNJI035,7082.19
DRD25_BABATUNJI045,6756.059
DRD27_BABATUNJI017,4788.6953
DRD27_BABATUNJI019,1165.6869
DRD27_BABATUNJI045,4790.663
DRD37_BABATUNJI017,7697.0767
