Item_Store_ID,Item_Store_Returns
DRA59_BABATUNJI010,1543.9675
DRA59_BABATUNJI013,7453.1167
DRB01_BABATUNJI013,7463.7803
DRB13_BABATUNJI010,1952.6008
DRB13_BABATUNJI013,7689.2607
DRB25_BABATUNJI017,4457.5405
DRB25_BABATUNJI027,6762.056
DRB25_BABATUNJI035,4793.4014
DRB48_BABATUNJI017,3106.668
DRB48_BABATUNJI027,6142.187
DRB48_BABATUNJI035,3344.6191
DRB48_BABATUNJI046,2266.9482
DRB48_BABATUNJI049,3066.0366
DRC01_BABATUNJI017,3432.4912
DRC01_BABATUNJI018,2538.252
DRC01_BABATUNJI027,6094.8867
DRC01_BABATUNJI045,3468.188
DRC01_BABATUNJI046,2470.6924
DRC13_BABATUNJI035,5582.3403
DRC13_BABATUNJI045,5274.2393
DRC25_BABATUNJI018,3718.1523
DRC25_BABATUNJI019,453.77985
DRC25_BABATUNJI027,7554.5493
DRC25_BABATUNJI045,3858.2803
DRC25_BABATUNJI046,3697.2651
DRC27_BABATUNJI010,2639.2979
DRC27_BABATUNJI018,7610.5015
DRC27_BABATUNJI049,9022.984
DRC36_BABATUNJI013,7106.7065
DRD01_BABATUNJI017,3204.4834
DRD01_BABATUNJI018,2351.4565
DRD01_BABATUNJI035,3471.294
DRD01_BABATUNJI045,3049.334
DRD01_BABATUNJI049,3225.8086
DRD12_BABATUNJI017,4037.9229
DRD12_BABATUNJI018,4348.2993
DRD12_BABATUNJI027,7772.5405
DRD12_BABATUNJI035,4392.2124
DRD12_BABATUNJI045,3853.608
DRD12_BABATUNJI046,3876.6484
DRD13_BABATUNJI017,3761.9666
DRD13_BABATUNJI018,3192.5957
DRD13_BABATUNJI027,6302.7573
DRD13_BABATUNJI035,4044.317
DRD13_BABATUNJI045,3695.85
DRD13_BABATUNJI049,3882.2314
DRD15_BABATUNJI010,2745.018
DRD15_BABATUNJI013,8732.984
DRD15_BABATUNJI046,8903.916
DRD15_BABATUNJI049,9442.879
DRD24_BABATUNJI027,8389.084
DRD25_BABATUNJI027,6773.781
DRD25_BABATUNJI035,4705.026
DRD25_BABATUNJI045,4241.181
DRD27_BABATUNJI017,4378.079
DRD27_BABATUNJI019,419.29163
DRD27_BABATUNJI045,4332.131
DRD37_BABATUNJI017,3145.2593
DRD37_BABATUNJI018,2267.296
DRD37_BABATUNJI045,3020.7542
DRD37_BABATUNJI046,2305.222
DRD37_BABATUNJI049,3148.003
DRD49_BABATUNJI046,8565.295
