Item_ID,Store_ID,Item_Store_ID,Item_Weight,Item_Sugar_Content,Item_Visibility,Item_Type,Item_Price,Store_Start_Year,Store_Size,Store_Location_Type,Store_Type,Item_Store_Returns
DRA12,BABATUNJI010,DRA12_BABATUNJI010,11.6,Low Sugar,0.068535039,Soft Drinks,357.54,2005,,Cluster 3,Grocery Store,709.08
DRA12,BABATUNJI013,DRA12_BABATUNJI013,11.6,Low Sugar,0.040911824,Soft Drinks,355.79,1994,High,Cluster 3,Supermarket Type1,6381.69
DRA12,BABATUNJI017,DRA12_BABATUNJI017,11.6,Low Sugar,0.041177505,Soft Drinks,350.79,2014,,Cluster 2,Supermarket Type1,6381.69
DRA12,BABATUNJI018,DRA12_BABATUNJI018,11.6,Low Sugar,0.041112694,Soft Drinks,355.04,2016,Medium,Cluster 3,Supermarket Type2,2127.23
DRA12,BABATUNJI035,DRA12_BABATUNJI035,11.6,Ultra Low Sugar,0,Soft Drinks,354.79,2011,Small,Cluster 2,Supermarket Type1,2481.77
DRA12,BABATUNJI045,DRA12_BABATUNJI045,11.6,Low Sugar,0,Soft Drinks,354.04,2009,,Cluster 2,Supermarket Type1,9572.54
DRA24,BABATUNJI010,DRA24_BABATUNJI010,19.35,Normal Sugar,0.066831682,Soft Drinks,409.72,2005,,Cluster 3,Grocery Store,818.93
DRA24,BABATUNJI013,DRA24_BABATUNJI013,19.35,Normal Sugar,0.039895009,Soft Drinks,406.22,1994,High,Cluster 3,Supermarket Type1,11055.61
DRA24,BABATUNJI017,DRA24_BABATUNJI017,19.35,Normal Sugar,0.040154087,Soft Drinks,411.72,2014,,Cluster 2,Supermarket Type1,2866.27
DRA24,BABATUNJI019,DRA24_BABATUNJI019,,Normal Sugar,0.069909188,Soft Drinks,408.22,1992,Small,Cluster 1,Grocery Store,1228.4
DRA24,BABATUNJI027,DRA24_BABATUNJI027,,Normal Sugar,0.039734882,Soft Drinks,414.47,1992,Medium,Cluster 3,Supermarket Type3,12284.01
DRA24,BABATUNJI035,DRA24_BABATUNJI035,19.35,Normal Sugar,0.039920687,Soft Drinks,408.47,2011,Small,Cluster 2,Supermarket Type1,8598.81
DRA24,BABATUNJI049,DRA24_BABATUNJI049,19.35,Normal Sugar,0.039990314,Soft Drinks,412.72,2006,Medium,Cluster 1,Supermarket Type1,2456.8
DRA59,BABATUNJI017,DRA59_BABATUNJI017,8.27,Normal Sugar,0,Soft Drinks,458.23,2014,,Cluster 2,Supermarket Type1,6015.5
DRA59,BABATUNJI018,DRA59_BABATUNJI018,8.27,Normal Sugar,0.128449055,Soft Drinks,466.48,2016,Medium,Cluster 3,Supermarket Type2,11105.54
DRA59,BABATUNJI019,DRA59_BABATUNJI019,,Normal Sugar,0.223985293,Soft Drinks,465.73,1992,Small,Cluster 1,Grocery Store,1388.19
DRA59,BABATUNJI027,DRA59_BABATUNJI027,,Normal Sugar,0.127308434,Soft Drinks,466.73,1992,Medium,Cluster 3,Supermarket Type3,17583.78
DRA59,BABATUNJI046,DRA59_BABATUNJI046,8.27,Normal Sugar,0.127927931,Soft Drinks,462.23,2004,Small,Cluster 1,Supermarket Type1,11105.54
DRA59,BABATUNJI049,DRA59_BABATUNJI049,8.27,Normal Sugar,0.128126825,Soft Drinks,459.23,2006,Medium,Cluster 1,Supermarket Type1,3239.12
DRB01,BABATUNJI027,DRB01_BABATUNJI027,,Low Sugar,0.081841136,Soft Drinks,475.13,1992,Medium,Cluster 3,Supermarket Type3,1423.15
DRB01,BABATUNJI049,DRB01_BABATUNJI049,7.39,Low Sugar,0.082367244,Soft Drinks,469.38,2006,Medium,Cluster 1,Supermarket Type1,3795.06
DRB13,BABATUNJI017,DRB13_BABATUNJI017,6.115,Normal Sugar,0.007084185,Soft Drinks,477.88,2014,,Cluster 2,Supermarket Type1,8538.89
DRB13,BABATUNJI035,DRB13_BABATUNJI035,6.115,Normal Sugar,0.007043008,Soft Drinks,475.88,2011,Small,Cluster 2,Supermarket Type1,1423.15
DRB13,BABATUNJI049,DRB13_BABATUNJI049,6.115,Normal Sugar,0.007055292,Soft Drinks,471.63,2006,Medium,Cluster 1,Supermarket Type1,9013.27
DRB24,BABATUNJI017,DRB24_BABATUNJI017,8.785,Low Sugar,0.020693619,Soft Drinks,382.91,2014,,Cluster 2,Supermarket Type1,4633.97
DRB24,BABATUNJI035,DRB24_BABATUNJI035,8.785,Low Sugar,0.020573334,Soft Drinks,391.16,2011,Small,Cluster 2,Supermarket Type1,5406.3
DRB24,BABATUNJI045,DRB24_BABATUNJI045,8.785,Low Sugar,0.020618957,Soft Drinks,382.66,2009,,Cluster 2,Supermarket Type1,10426.43
DRB24,BABATUNJI049,DRB24_BABATUNJI049,8.785,Low Sugar,0.020609218,Soft Drinks,387.91,2006,Medium,Cluster 1,Supermarket Type1,10040.26
DRB25,BABATUNJI010,DRB25_BABATUNJI010,12.3,Low Sugar,0.116261335,Soft Drinks,267.73,2005,,Cluster 3,Grocery Store,535.97
