ID,Prediction
0_2014-01-01,0.1898074
1_2014-01-01,0.16283235
2_2014-01-01,0.26816645
3_2014-01-01,0.19728893
4_2014-01-01,0.24324985
5_2014-01-01,0.17014104
6_2014-01-01,0.12968242
7_2014-01-01,0.09046943
8_2014-01-01,0.09848856
9_2014-01-01,0.07564729
10_2014-01-01,0.08290836
11_2014-01-01,0.05398542
12_2014-01-01,0.23116487
13_2014-01-01,0.22422783
14_2014-01-01,0.21503659
15_2014-01-01,0.20045577
16_2014-01-01,0.17178978
17_2014-01-01,0.041598003
18_2014-01-01,0.0133233415
19_2014-01-01,0.013382293
20_2014-01-01,0.015203142
21_2014-01-01,0.016875075
22_2014-01-01,0.021454683
23_2014-01-01,0.11531051
24_2014-01-01,0.1591716
25_2014-01-01,0.13783053
26_2014-01-01,0.23635805
27_2014-01-01,0.19713381
28_2014-01-01,0.2023677
29_2014-01-01,0.032124538
30_2014-01-01,0.07062563
31_2014-01-01,0.020268084
32_2014-01-01,0.0092776725
33_2014-01-01,0.009383956
34_2014-01-01,0.20194095
35_2014-01-01,0.27659523
36_2014-01-01,0.25459254
37_2014-01-01,0.22448525
38_2014-01-01,0.13283756
39_2014-01-01,0.1620778
40_2014-01-01,0.14648929
41_2014-01-01,0.010491769
42_2014-01-01,0.011599363
43_2014-01-01,0.0039515034
44_2014-01-01,0.0050984537
45_2014-01-01,0.029124364
46_2014-01-01,0.030877393
47_2014-01-01,0.06738604
48_2014-01-01,0.0062167924
49_2014-01-01,0.001012588
50_2014-01-01,0.0022908747
51_2014-01-01,0.013871277
52_2014-01-01,0.010236029
53_2014-01-01,0.042672303
54_2014-01-01,0.38422278
55_2014-01-01,0.4755876
56_2014-01-01,0.3750186
57_2014-01-01,0.14513288
58_2014-01-01,0.054502603
59_2014-01-01,0.031627603
60_2014-01-01,0.008116842
61_2014-01-01,0.010700277
62_2014-01-01,0.18344563
63_2014-01-01,0.17530662
64_2014-01-01,0.16180308
65_2014-01-01,0.17729788
66_2014-01-01,0.23657455
67_2014-01-01,0.22603735
68_2014-01-01,0.11274799
69_2014-01-01,0.21093725
70_2014-01-01,0.19608557
71_2014-01-01,0.019436253
72_2014-01-01,0.006630407
73_2014-01-01,0.0039852047
74_2014-01-01,0.0049127196
75_2014-01-01,0.0064082555
76_2014-01-01,0.00012905092
77_2014-01-01,0.0007391153
78_2014-01-01,0.006995089
79_2014-01-01,0.004200556
80_2014-01-01,0.009793096
81_2014-01-01,0.0033440653
82_2014-01-01,0.0013651808
83_2014-01-01,0.0045730197
84_2014-01-01,0.0036210143
85_2014-01-01,0.14675358
86_2014-01-01,0.34193644
87_2014-01-01,0.3869315
88_2014-01-01,0.2319918
89_2014-01-01,0.17470872
90_2014-01-01,0.045139056
91_2014-01-01,0.11113278
92_2014-01-01,0.032109834
93_2014-01-01,0.022270367
94_2014-01-01,0.018305536
95_2014-01-01,0.050585963
96_2014-01-01,0.08775051
97_2014-01-01,0.085125856
98_2014-01-01,0.18055831
99_2014-01-01,0.1720676
100_2014-01-01,0.39749426
101_2014-01-01,0.47612795
102_2014-01-01,0.3442697
103_2014-01-01,0.053925417
104_2014-01-01,0.12203963
105_2014-01-01,0.112580426
106_2014-01-01,0.17048663
107_2014-01-01,0.10556025
108_2014-01-01,0.08639862
109_2014-01-01,0.17299837
110_2014-01-01,0.13744204
111_2014-01-01,0.1464777
112_2014-01-01,0.051402442
113_2014-01-01,0.021838395
114_2014-01-01,0.016140435
115_2014-01-01,0.015552851
116_2014-01-01,0.016538806
117_2014-01-01,0.0028314188
118_2014-01-01,0.0003355321
119_2014-01-01,0.00020334398
120_2014-01-01,0.00031635276
121_2014-01-01,0.00018572411
122_2014-01-01,0.00016868413
123_2014-01-01,0.00018851971
124_2014-01-01,0.0011205256
125_2014-01-01,0.004932817
126_2014-01-01,0.004778026
127_2014-01-01,0.0052298508
128_2014-01-01,0.001269789
129_2014-01-01,0.00022904524
130_2014-01-01,0.014699241
131_2014-01-01,0.022896944
132_2014-01-01,0.1077693
133_2014-01-01,0.15054786
134_2014-01-01,0.19986352
135_2014-01-01,0.14345965
136_2014-01-01,0.19704258
137_2014-01-01,0.14333029
138_2014-01-01,0.25079277
139_2014-01-01,0.18655565
140_2014-01-01,0.08569094
141_2014-01-01,0.032637496
142_2014-01-01,0.016239366
143_2014-01-01,0.03934535
144_2014-01-01,0.087508686
145_2014-01-01,0.1280924
146_2014-01-01,0.14263862
147_2014-01-01,0.23555571
148_2014-01-01,0.5287837
149_2014-01-01,0.49833557
150_2014-01-01,0.39955494
151_2014-01-01,0.48821706
152_2014-01-01,0.011167537
153_2014-01-01,0.052683007
154_2014-01-01,0.03518775
155_2014-01-01,0.09725379
156_2014-01-01,0.10548001
157_2014-01-01,0.03974467
158_2014-01-01,0.10056705
159_2014-01-01,0.046267048
160_2014-01-01,0.067740485
161_2014-01-01,0.021161273
162_2014-01-01,0.0056481957
163_2014-01-01,0.001142572
164_2014-01-01,0.00046128806
165_2014-01-01,0.00038254805
166_2014-01-01,0.0003227388
167_2014-01-01,0.0038825155
168_2014-01-01,0.0013375742
169_2014-01-01,0.009075902
170_2014-01-01,0.00047389363
171_2014-01-01,0.00020011514
172_2014-01-01,0.00018406095
173_2014-01-01,0.0001929407
174_2014-01-01,0.00017025493
175_2014-01-01,0.00018253726
176_2014-01-01,0.00019558833
177_2014-01-01,0.0011889526
178_2014-01-01,0.0013093506
179_2014-01-01,0.0011674205
180_2014-01-01,0.00042064677
181_2014-01-01,0.00018867113
182_2014-01-01,0.018232696
183_2014-01-01,0.009741301
184_2014-01-01,0.013801257
185_2014-01-01,0.024172539
186_2014-01-01,0.03567479
187_2014-01-01,0.07344462
188_2014-01-01,0.056401607
189_2014-01-01,0.12584299
190_2014-01-01,0.2573062
191_2014-01-01,0.27721828
192_2014-01-01,0.17128602
193_2014-01-01,0.11913741
194_2014-01-01,0.058153242
195_2014-01-01,0.018521072
196_2014-01-01,0.0641437
197_2014-01-01,0.13008565
198_2014-01-01,0.16887088
199_2014-01-01,0.36238337
200_2014-01-01,0.41434813
201_2014-01-01,0.4361113
202_2014-01-01,0.28282163
203_2014-01-01,0.2479878
204_2014-01-01,0.2023732
205_2014-01-01,0.006294392
206_2014-01-01,0.0072235083
207_2014-01-01,0.010948016
208_2014-01-01,0.019245038
209_2014-01-01,0.03404895
210_2014-01-01,0.012690501
211_2014-01-01,0.03198362
212_2014-01-01,0.011684565
213_2014-01-01,0.016069584
214_2014-01-01,0.0069401204
215_2014-01-01,0.0021220138
216_2014-01-01,0.00040355138
217_2014-01-01,0.00033887895
218_2014-01-01,0.0003261639
219_2014-01-01,0.00036351453
220_2014-01-01,0.00030710062
221_2014-01-01,0.0065711997
222_2014-01-01,0.07771343
223_2014-01-01,0.037822727
224_2014-01-01,0.004890051
225_2014-01-01,0.0009506258
226_2014-01-01,0.0001958862
227_2014-01-01,0.00017838606
228_2014-01-01,0.00018619558
229_2014-01-01,0.00022678677
230_2014-01-01,0.00025688
231_2014-01-01,0.00021679176
232_2014-01-01,0.00024922824
233_2014-01-01,0.00056859513
234_2014-01-01,0.0032819111
235_2014-01-01,0.003531081
236_2014-01-01,0.0035870026
237_2014-01-01,0.009107469
238_2014-01-01,0.003743384
239_2014-01-01,0.00548689
240_2014-01-01,0.025482548
241_2014-01-01,0.03251601
242_2014-01-01,0.021873625
243_2014-01-01,0.023304164
244_2014-01-01,0.10577735
245_2014-01-01,0.105331264
246_2014-01-01,0.1498143
247_2014-01-01,0.12065176
248_2014-01-01,0.13284081
249_2014-01-01,0.13018553
250_2014-01-01,0.15300049
251_2014-01-01,0.14990994
252_2014-01-01,0.17783742
253_2014-01-01,0.27182394
254_2014-01-01,0.12412349
255_2014-01-01,0.08910342
256_2014-01-01,0.14745893
257_2014-01-01,0.07482149
258_2014-01-01,0.028862858
259_2014-01-01,0.0053591537
260_2014-01-01,0.0070308116
261_2014-01-01,0.010371049
262_2014-01-01,0.009620959
263_2014-01-01,0.011946467
264_2014-01-01,0.013445461
265_2014-01-01,0.031197472
266_2014-01-01,0.019992279
267_2014-01-01,0.03923651
268_2014-01-01,0.024523294
269_2014-01-01,0.0036043786
270_2014-01-01,0.0008091728
271_2014-01-01,0.00027941252
272_2014-01-01,0.0003148138
273_2014-01-01,0.00034476412
274_2014-01-01,0.0003067299
275_2014-01-01,0.000364218
276_2014-01-01,0.00022793874
277_2014-01-01,0.00026575933
278_2014-01-01,0.00025754314
279_2014-01-01,0.0001694665
280_2014-01-01,0.00017950709
281_2014-01-01,0.00013733919
282_2014-01-01,0.00016640079
283_2014-01-01,0.00025356436
284_2014-01-01,0.0002590219
285_2014-01-01,0.00023525287
286_2014-01-01,0.00026093744
287_2014-01-01,0.00022979509
288_2014-01-01,0.0010516784
289_2014-01-01,0.0011655033
290_2014-01-01,0.0014106802
291_2014-01-01,0.00010259234
292_2014-01-01,0.00011327563
293_2014-01-01,0.0019764174
294_2014-01-01,0.007892922
295_2014-01-01,0.022123292
296_2014-01-01,0.010860234
297_2014-01-01,0.014605997
298_2014-01-01,0.008719743
299_2014-01-01,0.006649788
300_2014-01-01,0.02350353
301_2014-01-01,0.025380144
302_2014-01-01,0.023401836
303_2014-01-01,0.034601074
304_2014-01-01,0.028240634
305_2014-01-01,0.09325551
306_2014-01-01,0.099804215
307_2014-01-01,0.13801607
308_2014-01-01,0.094147705
309_2014-01-01,0.08732195
310_2014-01-01,0.067771204
311_2014-01-01,0.028016195
312_2014-01-01,0.012220341
313_2014-01-01,0.0018917783
314_2014-01-01,0.0020685745
315_2014-01-01,0.0018358758
316_2014-01-01,0.0021267314
317_2014-01-01,0.0021701367
318_2014-01-01,0.0019542705
319_2014-01-01,0.0035211104
320_2014-01-01,0.003832662
321_2014-01-01,0.0037655602
322_2014-01-01,0.0033212898
323_2014-01-01,0.0037876214
324_2014-01-01,0.021406783
325_2014-01-01,0.0012068627
326_2014-01-01,0.00033583515
327_2014-01-01,0.00022974711
328_2014-01-01,0.00022028414
329_2014-01-01,0.0003261757
330_2014-01-01,0.00038637142
331_2014-01-01,0.00031405658
332_2014-01-01,0.0002331083
333_2014-01-01,0.00026166587
334_2014-01-01,0.00023040125
335_2014-01-01,0.00015033185
336_2014-01-01,0.00015003499
337_2014-01-01,0.000118175056
338_2014-01-01,0.00012790471
339_2014-01-01,0.0001864532
340_2014-01-01,0.00021645427
341_2014-01-01,0.00022285641
342_2014-01-01,0.0002638537
343_2014-01-01,0.00017996124
344_2014-01-01,0.00010976241
345_2014-01-01,8.0431266e-05
346_2014-01-01,5.9456932e-05
347_2014-01-01,9.282096e-05
348_2014-01-01,0.000117510725
349_2014-01-01,0.0001367943
350_2014-01-01,0.0022196886
351_2014-01-01,0.011626504
352_2014-01-01,0.006625036
353_2014-01-01,0.010500306
354_2014-01-01,0.0023347838
355_2014-01-01,0.0023700309
356_2014-01-01,0.008388846
357_2014-01-01,0.021120135
358_2014-01-01,0.018483067
359_2014-01-01,0.0047279047
360_2014-01-01,0.0051400936
361_2014-01-01,0.035341803
362_2014-01-01,0.036848925
363_2014-01-01,0.044695955
364_2014-01-01,0.036154862
365_2014-01-01,0.065599665
366_2014-01-01,0.060290888
367_2014-01-01,0.018773237
368_2014-01-01,0.0064040883
369_2014-01-01,0.002748861
370_2014-01-01,0.0013582659
371_2014-01-01,0.0012040782
372_2014-01-01,0.00089588156
373_2014-01-01,0.0010084228
374_2014-01-01,0.00072794984
375_2014-01-01,0.00085449783
376_2014-01-01,0.0009772084
377_2014-01-01,0.0014312003
378_2014-01-01,0.0014704395
379_2014-01-01,0.0009723419
380_2014-01-01,0.00020080093
381_2014-01-01,0.00017991765
382_2014-01-01,0.0001605752
383_2014-01-01,0.0001495612
384_2014-01-01,0.000120845376
385_2014-01-01,0.00022468207
386_2014-01-01,0.00022561802
387_2014-01-01,0.00016526923
388_2014-01-01,0.00020720296
389_2014-01-01,0.00018914431
390_2014-01-01,0.00014044435
391_2014-01-01,0.00014029084
392_2014-01-01,0.00012849848
393_2014-01-01,0.0001312116
394_2014-01-01,0.00017805149
395_2014-01-01,0.00016535813
396_2014-01-01,0.00017176224
397_2014-01-01,0.0002732815
398_2014-01-01,0.0002595519
399_2014-01-01,0.0001335892
400_2014-01-01,0.00012070143
401_2014-01-01,8.0895865e-05
402_2014-01-01,0.00010342224
403_2014-01-01,0.00012742472
404_2014-01-01,0.00015209247
405_2014-01-01,0.00015457651
406_2014-01-01,0.0013074378
407_2014-01-01,0.0010465996
408_2014-01-01,0.0017440633
409_2014-01-01,0.000206541
410_2014-01-01,0.00025750804
411_2014-01-01,0.00033638885
412_2014-01-01,0.015400436
413_2014-01-01,0.035442162
414_2014-01-01,0.0199129
415_2014-01-01,0.025444059
416_2014-01-01,0.025110908
417_2014-01-01,0.024791565
418_2014-01-01,0.008451914
419_2014-01-01,0.00695499
420_2014-01-01,0.014722803
421_2014-01-01,0.09482666
422_2014-01-01,0.049311876
423_2014-01-01,0.013125378
424_2014-01-01,0.0042948625
425_2014-01-01,0.00045389085
426_2014-01-01,0.00036466966
427_2014-01-01,0.00033336805
428_2014-01-01,0.0003469981
429_2014-01-01,0.0002661709
430_2014-01-01,0.00025497604
431_2014-01-01,0.00022412429
432_2014-01-01,0.00020167165
433_2014-01-01,0.0001897869
434_2014-01-01,0.00019768765
435_2014-01-01,0.00013910516
436_2014-01-01,0.000108238586
437_2014-01-01,6.9428555e-05
438_2014-01-01,8.545865e-05
439_2014-01-01,8.059941e-05
440_2014-01-01,9.435989e-05
441_2014-01-01,0.00014935953
442_2014-01-01,0.00014466279
443_2014-01-01,0.00015421066
444_2014-01-01,0.00018412748
445_2014-01-01,0.00017717473
446_2014-01-01,0.00012977084
447_2014-01-01,0.00014236246
448_2014-01-01,0.00015718996
449_2014-01-01,0.00013488275
450_2014-01-01,0.00016543621
451_2014-01-01,0.0001724153
452_2014-01-01,0.00016163423
453_2014-01-01,0.00018924857
454_2014-01-01,0.00019306235
455_2014-01-01,0.00020280744
456_2014-01-01,0.00012359595
457_2014-01-01,6.841393e-05
458_2014-01-01,9.242104e-05
459_2014-01-01,0.0001055694
460_2014-01-01,0.00011882525
461_2014-01-01,0.00012907085
462_2014-01-01,0.000114135226
463_2014-01-01,0.00010369905
464_2014-01-01,0.00014817873
465_2014-01-01,0.00023250718
466_2014-01-01,0.0002502192
467_2014-01-01,0.021865953
468_2014-01-01,0.007437755
469_2014-01-01,0.032412454
470_2014-01-01,0.008520362
471_2014-01-01,0.01820398
472_2014-01-01,0.0077822627
473_2014-01-01,0.00089481636
474_2014-01-01,0.0013886516
475_2014-01-01,0.0066812495
476_2014-01-01,0.024221683
477_2014-01-01,0.02283163
478_2014-01-01,0.04397655
479_2014-01-01,0.027257014
480_2014-01-01,0.0051380214
481_2014-01-01,0.00032002875
482_2014-01-01,0.00026030405
483_2014-01-01,0.00026237287
484_2014-01-01,0.00020233249
485_2014-01-01,0.00027909275
486_2014-01-01,0.00020941134
487_2014-01-01,0.00012560397
488_2014-01-01,0.00011498183
489_2014-01-01,5.1976942e-05
490_2014-01-01,4.868983e-05
491_2014-01-01,5.2278734e-05
492_2014-01-01,2.6997555e-05
493_2014-01-01,2.022855e-05
494_2014-01-01,2.651549e-05
495_2014-01-01,4.3360742e-05
496_2014-01-01,2.5669195e-05
497_2014-01-01,8.125778e-05
498_2014-01-01,9.823851e-05
499_2014-01-01,7.819749e-05
500_2014-01-01,6.893818e-05
501_2014-01-01,9.559925e-05
502_2014-01-01,9.759751e-05
503_2014-01-01,6.883865e-05
504_2014-01-01,7.0204915e-05
505_2014-01-01,8.498713e-05
506_2014-01-01,0.00016411237
507_2014-01-01,0.00014517877
